epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.95088,1.08826,6.5558,1.21415,0.04517,0.61039,0.06232,0.04959,0.86022,6.5978,1.06284,0.00010002,0.00010002,0.00010002
2,13.2977,1.07074,3.84649,1.17032,0.92202,0.94299,0.96684,0.7954,0.75784,4.03066,0.9295,0.000213134,0.000213134,0.000213134
3,16.4673,1.02711,2.50397,1.16136,0.90724,0.92446,0.98625,0.79082,0.80306,3.21478,0.93251,0.000322398,0.000322398,0.000322398
4,19.1093,0.84455,1.63492,1.01588,0.85524,0.84566,0.83778,0.63804,0.82791,2.83986,0.96167,0.000427811,0.000427811,0.000427811
5,21.7198,0.82264,1.44248,1.00803,0.91828,0.96658,0.9775,0.77207,0.83588,2.62612,0.91104,0.000529373,0.000529373,0.000529373
6,24.398,0.86348,1.22141,1.05108,0.90116,0.8191,0.92769,0.69894,1.0361,2.74619,1.00461,0.000627084,0.000627084,0.000627084
7,27.7849,0.82161,1.06487,0.98545,0.48326,0.62987,0.65727,0.48818,0.91857,3.54989,0.97442,0.000720944,0.000720944,0.000720944
8,30.2925,0.90148,1.00764,1.02806,0.0792,0.46104,0.07657,0.05329,1.14288,14.9661,1.07851,0.000810954,0.000810954,0.000810954
9,32.9082,0.83396,0.91529,1.02603,0.01581,0.20779,0.01907,0.01267,1.63842,37.6361,1.77475,0.000897113,0.000897113,0.000897113
10,35.4582,0.83843,0.88503,1.04623,0.52582,0.59159,0.49936,0.3707,1.13734,2.85368,1.23358,0.000979421,0.000979421,0.000979421
11,38.3096,0.86954,0.86043,1.02689,0.27785,0.72078,0.29548,0.19334,1.23397,24.0102,1.24994,0.00105788,0.00105788,0.00105788
12,41.3142,0.7907,0.77738,1.00158,0.5799,0.64935,0.6987,0.51147,1.09408,1.98445,1.14993,0.00113248,0.00113248,0.00113248
13,43.8811,0.87125,0.83432,1.05191,0.81604,0.57792,0.81895,0.59905,1.04883,1.65322,1.10414,0.00120324,0.00120324,0.00120324
14,46.6984,0.81157,0.74623,1.00516,0.82374,0.95647,0.92951,0.6557,1.03078,1.43658,1.08581,0.00127015,0.00127015,0.00127015
15,49.2369,0.85085,0.76758,1.00425,0.84081,0.87033,0.9244,0.65401,0.94104,1.43867,1.02666,0.00128192,0.00128192,0.00128192
16,52.3804,0.77815,0.71066,1.01741,0.54094,0.86364,0.78471,0.63394,0.89339,1.31835,1.04149,0.00125442,0.00125442,0.00125442
17,55.0297,0.82321,0.75453,1.05691,0.78025,0.74331,0.8223,0.63428,0.94205,1.85598,1.10724,0.00122691,0.00122691,0.00122691
18,57.6361,0.78271,0.71117,0.99255,0.96324,0.71729,0.84443,0.67626,0.90531,1.65959,1.07108,0.00119941,0.00119941,0.00119941
19,60.1525,0.74176,0.6581,0.97539,0.87119,0.77273,0.83845,0.68279,0.89038,1.61689,1.00994,0.0011719,0.0011719,0.0011719
20,62.6821,0.76987,0.66009,0.97409,0.80841,0.49351,0.62732,0.49321,1.11337,1.99351,1.20519,0.0011444,0.0011444,0.0011444
21,65.9779,0.74422,0.62901,0.98405,0.69498,0.72078,0.77149,0.6274,1.04722,1.58875,1.21743,0.00111689,0.00111689,0.00111689
22,68.5393,0.74463,0.59826,0.9885,0.87491,0.83244,0.82029,0.65432,1.05824,1.44511,1.27988,0.00108938,0.00108938,0.00108938
23,71.0428,0.72197,0.62402,0.99005,0.9712,0.78842,0.85788,0.66161,1.06464,1.22292,1.11617,0.00106188,0.00106188,0.00106188
24,73.6207,0.71034,0.61871,0.96115,0.93133,0.86322,0.85716,0.66733,0.99819,0.89053,1.08866,0.00103437,0.00103437,0.00103437
25,76.2629,0.69891,0.55614,0.95152,0.97854,0.86364,0.87395,0.68039,0.91413,0.72238,0.9785,0.00100687,0.00100687,0.00100687
26,79.4949,0.66564,0.55635,0.9453,0.99321,0.85988,0.96015,0.73703,0.90877,0.70211,0.97151,0.000979362,0.000979362,0.000979362
27,81.9391,0.65757,0.52334,0.95493,0.95687,0.98536,0.995,0.77641,0.94394,0.66793,0.97119,0.000951857,0.000951857,0.000951857
28,84.4726,0.67737,0.55367,0.97499,0.94262,0.97938,0.995,0.79129,0.86254,0.56424,0.96685,0.000924352,0.000924352,0.000924352
29,86.9606,0.67509,0.53691,0.95582,0.95014,0.98303,0.995,0.79864,0.85275,0.56634,0.96893,0.000896846,0.000896846,0.000896846
30,89.8385,0.6624,0.5257,0.95287,0.93018,0.85903,0.98375,0.80708,0.83963,0.58399,0.95063,0.00086934,0.00086934,0.00086934
31,93.2646,0.62396,0.5051,0.9175,0.94007,0.91357,0.98808,0.81339,0.73342,0.55778,0.91015,0.000841835,0.000841835,0.000841835
32,95.8005,0.68575,0.53803,0.94507,0.95562,1,0.995,0.81479,0.80211,0.51357,0.90653,0.000814329,0.000814329,0.000814329
33,98.4134,0.64364,0.48334,0.89159,0.98253,0.95455,0.99125,0.81122,0.78029,0.51703,0.90192,0.000786824,0.000786824,0.000786824
34,100.938,0.57438,0.47951,0.93197,0.99127,0.99281,0.995,0.82872,0.71014,0.48598,0.88751,0.000759318,0.000759318,0.000759318
35,104.41,0.64771,0.49268,0.92216,0.93923,1,0.99125,0.82841,0.68919,0.48943,0.883,0.000731813,0.000731813,0.000731813
36,107.122,0.63447,0.51959,0.94294,0.98227,1,0.995,0.82352,0.71186,0.50703,0.88651,0.000704307,0.000704307,0.000704307
37,109.648,0.61456,0.48397,0.94542,0.97635,1,0.995,0.85877,0.71656,0.46507,0.88838,0.000676802,0.000676802,0.000676802
38,112.305,0.60278,0.46991,0.93204,0.90601,1,0.99125,0.87765,0.66752,0.49155,0.85845,0.000649297,0.000649297,0.000649297
39,115.086,0.57303,0.44605,0.9179,0.97955,1,0.995,0.85534,0.68902,0.41298,0.86831,0.000621791,0.000621791,0.000621791
40,118.392,0.57657,0.49054,0.91571,0.98094,1,0.995,0.85564,0.69057,0.4225,0.87374,0.000594286,0.000594286,0.000594286
41,120.897,0.55306,0.44889,0.91638,0.97575,1,0.995,0.85385,0.6804,0.42483,0.87121,0.00056678,0.00056678,0.00056678
42,123.4,0.53111,0.41749,0.88486,0.98015,1,0.995,0.85931,0.69184,0.36172,0.86913,0.000539275,0.000539275,0.000539275
43,125.938,0.46545,0.40179,0.88701,0.9821,1,0.995,0.86096,0.6902,0.39885,0.86773,0.000511769,0.000511769,0.000511769
44,128.825,0.5318,0.44291,0.90842,0.9831,1,0.995,0.84532,0.68492,0.40205,0.86708,0.000484263,0.000484263,0.000484263
45,131.767,0.52537,0.41369,0.87298,0.98326,1,0.995,0.85621,0.68638,0.40245,0.87251,0.000456758,0.000456758,0.000456758
46,134.591,0.47238,0.40771,0.88214,0.98856,1,0.995,0.85443,0.70461,0.40817,0.88139,0.000429253,0.000429253,0.000429253
47,137.115,0.49657,0.41488,0.89183,0.98986,1,0.995,0.84154,0.7136,0.41524,0.88235,0.000401747,0.000401747,0.000401747
48,139.651,0.53711,0.44664,0.91059,0.98978,1,0.995,0.84902,0.71382,0.39383,0.88179,0.000374242,0.000374242,0.000374242
49,142.814,0.47964,0.39124,0.86933,0.9886,1,0.995,0.84376,0.71186,0.3786,0.88014,0.000346736,0.000346736,0.000346736
50,145.613,0.53585,0.4171,0.91276,0.98857,1,0.995,0.84291,0.72744,0.37697,0.87934,0.000319231,0.000319231,0.000319231
51,149.889,0.44944,0.38094,0.80769,0.98613,1,0.995,0.8509,0.69987,0.37238,0.87216,0.000291725,0.000291725,0.000291725
52,152.452,0.41633,0.33919,0.81793,0.98597,1,0.995,0.84644,0.70163,0.38436,0.87622,0.00026422,0.00026422,0.00026422
53,155.793,0.39612,0.32288,0.82941,0.98542,1,0.995,0.85711,0.70854,0.38499,0.87691,0.000236714,0.000236714,0.000236714
54,158.549,0.38156,0.34061,0.80309,0.9833,1,0.995,0.85325,0.71062,0.36582,0.87238,0.000209209,0.000209209,0.000209209
55,161.155,0.35884,0.31096,0.79744,0.98387,1,0.995,0.85367,0.70977,0.39038,0.86906,0.000181703,0.000181703,0.000181703
56,163.775,0.38044,0.31512,0.81575,0.98671,1,0.995,0.84834,0.71414,0.38549,0.87602,0.000154198,0.000154198,0.000154198
57,166.454,0.36766,0.3057,0.79235,0.98809,1,0.995,0.85158,0.70759,0.38287,0.87682,0.000126692,0.000126692,0.000126692
58,169.768,0.37155,0.30276,0.81444,0.99031,1,0.995,0.85715,0.69414,0.37022,0.87509,9.91865e-05,9.91865e-05,9.91865e-05
59,172.326,0.38971,0.30629,0.81217,0.99167,1,0.995,0.87072,0.68685,0.37249,0.87381,7.1681e-05,7.1681e-05,7.1681e-05
60,174.857,0.3825,0.31875,0.80393,0.99243,1,0.995,0.87361,0.68243,0.36565,0.87323,4.41755e-05,4.41755e-05,4.41755e-05
